epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext2_capacity,ext2_free,ext2_inodes,ext2_ifree,xfs_capacity,xfs_free,xfs_inodes,xfs_ifree,
530.470246094,5.799,D,6639668,368130,3571,12778,2,12650647552,12504711168,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
535.471093945,5.399,D,6696968,371319,3601,12887,2,12770672640,12624097280,52215808,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
540.471666071,5.199,D,6754256,374513,3633,12976,2,12873650176,12726411264,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
545.472469896,5.599,D,6815952,377950,3671,13096,2,12993568768,12845764608,52215808,0.00,0.00,241664,172032,32,20,11776000,11534336,8192,8187,
550.473575481,5.199,D,6873236,381144,3705,13219,2,13096443904,12948070400,52215808,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
555.474841865,5.199,R,6934677,384343,3738,13347,2,13199319040,13050376192,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
560.475818033,5.999,D,6996621,388023,3776,13456,2,13319340032,13169737728,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
565.477170993,5.598,D,7058309,391465,3808,13572,2,13422317568,13272043520,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
570.478066224,5.999,D,7124400,395155,3839,13693,2,13525192704,13374345216,52215808,0.00,0.00,241664,176128,32,21,11776000,11534336,8192,8188,
575.478921693,4.599,D,7177282,398101,3872,13798,2,13627965440,13476655104,52215808,0.00,0.00,241664,176128,32,21,11776000,11534336,8192,8188,
580.479782164,5.799,R,7242400,401539,3912,13928,2,13765025792,13609938944,52215808,3276.24,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
585.480677768,4.199,D,7287453,404241,3941,14028,2,13833715712,13681274880,52215808,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
590.481609319,5.399,R,7349008,407543,3970,14145,2,13970776064,13806759936,52215808,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
595.482554109,6.199,D,7415248,411363,4002,14258,2,14073757696,13919989760,52215808,3276.18,0.00,241664,184320,32,21,11776000,11538432,8192,8188,
600.483548981,4.999,S,7472514,414567,4039,14390,2,14142341120,13988192256,52215808,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
605.484432566,5.799,D,7534211,418004,4073,14518,2,14262362112,14107545600,52215808,0.00,0.00,241664,184320,32,20,11776000,11542528,8192,8187,
610.485405453,5.599,D,7595909,421441,4108,14647,2,14382383104,14226907136,52215808,0.00,0.00,241664,184320,32,20,11776000,11542528,8192,8187,
615.486298452,5.799,R,7660528,424879,4146,14769,2,14519443456,14358163456,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
620.487361581,5.199,D,7714894,428072,4177,14883,2,14605381632,14448582656,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
625.487984540,4.599,D,7767775,431018,4200,14977,2,14708154368,14550888448,52215808,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
