epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext4_capacity,ext4_free,ext4_inodes,ext4_ifree,xfs_capacity,xfs_free,xfs_inodes,xfs_ifree,
270.366450340,7.399,D,4930630,272833,2613,8993,2,9461616640,9336324096,72278016,0.00,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
275.367466942,7.798,R,5018758,277748,2665,9175,2,9615826944,9489780736,72278016,0.00,0.00,241664,184320,32,21,11776000,11538432,8192,8188,
280.368125791,7.599,S,5102486,282415,2710,9350,2,9770139648,9643245568,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
285.368805250,8.399,D,5195026,287573,2764,9527,2,9941635072,9813757952,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
290.369732015,7.999,R,5283165,292483,2817,9701,2,10113056768,9984274432,72278016,3276.19,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
295.370440504,8.999,D,5380119,297884,2868,9863,2,10301661184,10171842560,72278016,1638.17,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
300.371249182,7.799,R,5468010,302551,2911,10025,2,10473119744,10342359040,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
305.372200030,8.398,R,5560550,307709,2960,10212,2,10644578304,10512871424,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
310.373040418,7.599,D,5640125,312371,3006,10375,2,10798993408,10666340352,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
315.374103353,8.398,R,5736892,317594,3059,10559,2,11004534784,10856964096,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
320.375119537,8.398,R,5829370,322687,3113,10737,2,11158953984,11024416768,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
325.376034373,7.599,R,5913096,327354,3156,10902,2,11313266688,11177877504,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
330.376916252,7.599,R,5996881,332081,3197,11081,2,11484618752,11334397952,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
335.377885822,8.798,D,6089613,337422,3252,11250,2,11639037952,11501854720,72278016,0.00,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
340.378999835,8.398,D,6182161,342575,3301,11434,2,11827642368,11689418752,72278016,3276.07,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
345.379862075,8.199,D,6274702,347733,3356,11617,2,11999100928,11859931136,72278016,0.00,0.00,241664,176128,32,21,11776000,11534336,8192,8188,
350.380656768,8.199,R,6366996,352648,3412,11790,2,12170559488,12030447616,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
355.381537305,8.598,D,6459793,358044,3467,11962,2,12359163904,12218015744,72278016,0.00,0.00,241664,176128,32,21,11776000,11534336,8192,8188,
360.382148096,7.799,S,6547923,362959,3523,12133,2,12513476608,12371476480,72278016,1638.20,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
365.382800642,7.799,D,6631665,367621,3566,12286,2,12684935168,12542017536,72278016,0.00,0.00,241664,176128,32,21,11776000,11534336,8192,8188,
370.383886456,8.198,R,6722723,372536,3619,12459,2,12856397824,12707389440,72278016,0.00,0.00,241664,176128,32,21,11776000,11534336,8192,8188,
375.384719545,8.199,D,6812349,377689,3667,12637,2,13027856384,12883062784,72278016,0.00,0.00,241664,176128,32,21,11776000,11534336,8192,8188,
380.385636014,7.399,R,6895883,382168,3719,12800,2,13199208448,13039587328,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
385.386403610,7.599,S,6979814,387018,3773,12959,2,13353627648,13207044096,72278016,0.00,0.00,241664,172032,32,21,11776000,11530240,8192,8188,
390.387336309,7.599,R,7063468,391619,3818,13126,2,13524979712,13372760064,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
395.388420527,8.398,R,7155078,396595,3870,13305,2,13696544768,13544812544,72278016,3276.09,0.00,241664,172032,32,21,11776000,11530240,8192,8188,
400.389249443,8.399,R,7245029,401749,3925,13477,2,13885042688,13721837568,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
405.390193003,8.398,R,7338465,406906,3970,13666,2,14056607744,13895868416,72278016,3276.18,0.00,241664,172032,32,21,11776000,11530240,8192,8188,
410.391343507,8.398,D,7429320,412059,4012,13813,2,14228066304,14076678144,72278016,0.00,0.00,241664,172032,32,21,11776000,11530240,8192,8188,
415.392274034,7.399,D,7513049,416726,4063,13979,2,14382379008,14230142976,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
420.393061236,7.399,S,7596775,421393,4108,14151,2,14536691712,14383607808,72278016,0.00,0.00,241664,172032,32,21,11776000,11530240,8192,8188,
425.393890892,8.399,R,7688363,426303,4156,14333,2,14725296128,14568177664,72278016,0.00,0.00,241664,172032,32,21,11776000,11530240,8192,8188,
430.394664227,8.399,R,7781791,431637,4204,14511,2,14913794048,14753796096,72278016,0.00,0.00,241664,172032,32,21,11776000,11530240,8192,8188,
435.395510331,7.999,R,7869763,436409,4255,14699,2,15051063296,14879490048,72278016,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
440.396433031,8.198,D,7958115,441539,4308,14887,2,15188336640,15031549952,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
445.397830280,8.198,S,8050655,446697,4360,15064,2,15359692800,15202062336,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
450.398567213,7.799,D,8134392,451359,4410,15228,2,15531151360,15372578816,72278016,0.00,0.00,241664,167936,32,20,11776000,11530240,8192,8187,
455.399330671,8.199,R,8226746,456336,4456,15411,2,15719649280,15546155008,72278016,3276.30,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
460.400163242,7.599,D,8306259,460936,4505,15576,2,15857025024,15696564224,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
465.401015518,8.799,R,8403640,466337,4556,15736,2,16062672896,15885750272,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
470.401884150,7.999,R,8492459,471248,4605,15912,2,16234024960,16059097088,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
475.402913738,7.199,S,8575077,475914,4653,16085,2,16371298304,16208105472,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
480.403725752,8.799,D,8667627,481067,4700,16253,2,16559902720,16395673600,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
485.404606828,7.599,R,8755763,485977,4743,16415,2,16731361280,16566190080,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
490.405560134,8.798,D,8848309,491135,4790,16580,2,16902922240,16736710656,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
495.406446315,8.798,R,8946512,496537,4836,16744,2,17108463616,16929300480,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
500.407267853,7.599,R,9033291,501337,4889,16900,2,17279926272,17103888384,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
505.408250050,7.599,D,9112732,505865,4929,17037,2,17417199616,17248292864,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
510.409102923,8.199,D,9205272,511023,4978,17215,2,17588658176,17418805248,72278016,6552.48,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
515.410255747,7.398,D,9284598,515442,5021,17381,2,17742970880,17572270080,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
520.411308132,7.998,R,9376989,520456,5072,17556,2,17931468800,17748910080,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
525.412140652,8.399,S,9469687,525753,5126,17725,2,18103033856,17930354688,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
530.413112602,8.598,D,9562231,530911,5172,17903,2,18274492416,18100871168,72278016,0.00,0.00,241664,229376,32,20,11776000,11587584,8192,8187,
535.413940876,7.199,D,9641554,535330,5219,18060,2,18428805120,18254331904,72278016,0.00,0.00,241664,163840,32,20,11776000,11526144,8192,8187,
