epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext2_capacity,ext2_free,ext2_inodes,ext2_ifree,ext4_capacity,ext4_free,ext4_inodes,ext4_ifree,
425.247273423,71.192,S,8894313,500858,5041,17309,2,17411497984,16675659776,0,0.00,0.00,241664,180224,32,20,2048000,1982464,256,244,
430.247863283,65.592,S,8994655,506541,5098,17503,2,17601363968,16858251264,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
435.248418201,60.793,S,9087682,511795,5151,17708,2,17783934976,17033728000,0,0.00,0.00,241664,163840,32,21,2048000,1970176,256,245,
440.249101636,62.391,R,9183105,517168,5210,17902,2,17968664576,17209020416,0,0.00,0.00,241664,172032,32,21,2048000,1982464,256,245,
445.249677990,81.991,R,9308586,524292,5271,18107,2,18207952896,17441607680,0,0.00,0.00,241664,172032,32,21,2048000,1978368,256,245,
450.250220347,85.991,S,9440164,531727,5330,18309,2,18464399360,17688268800,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
455.250706531,77.992,R,9558889,538435,5391,18514,2,18696286208,17911177216,0,0.00,0.00,241664,172032,32,21,2048000,1982464,256,245,
460.259687165,57.097,R,9646733,543377,5448,18740,2,18871148544,18078384128,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
465.260580505,71.987,R,9757179,549631,5507,18940,2,19088142336,18287763456,0,0.00,0.00,241664,176128,32,21,2048000,1982464,256,245,
470.261216212,70.791,S,9865499,555757,5573,19131,2,19295375360,18487455744,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
475.261797777,80.791,R,9989115,562715,5633,19335,2,19544313856,18724945920,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
480.262347526,71.592,R,10098679,568929,5696,19543,2,19751550976,18926202880,0,0.00,0.00,241664,172032,32,21,2048000,1978368,256,245,
485.262889964,81.591,S,10223503,575992,5755,19751,2,19990732800,19156217856,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
490.263622038,75.989,S,10339753,582572,5807,19964,2,20212654080,19369639936,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
495.264075721,75.993,R,10455430,589105,5869,20168,2,20439613440,19587850240,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
500.264511638,79.993,R,10578363,596012,5931,20378,2,20685983744,19824648192,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
505.265110638,74.791,R,10692886,602516,5995,20579,2,20905545728,20036046848,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
510.266148542,67.586,R,10795714,608322,6045,20790,2,21107744768,20230545408,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
515.266657188,68.793,R,10901317,614271,6107,20992,2,21314871296,20428713984,0,0.00,0.00,241664,172032,32,20,2048000,1982464,256,244,
520.267307561,73.590,S,11014145,620691,6171,21191,2,21521997824,20628918272,0,0.00,0.00,241664,167936,32,21,2048000,1978368,256,245,
525.267864016,71.192,R,11123039,626820,6233,21396,2,21731594240,20830515200,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
530.268547415,71.590,R,11232452,633004,6292,21589,2,21948477440,21038579712,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
535.269223898,71.190,R,11341549,639196,6354,21789,2,22158315520,21240754176,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
540.269974479,61.991,S,11436434,644546,6411,22001,2,22348046336,21423398912,0,0.00,0.00,241664,176128,32,21,2048000,1982464,256,245,
545.270426793,64.394,S,11534968,650108,6459,22222,2,22542843904,21610741760,0,0.00,0.00,241664,172032,32,21,2048000,1978368,256,245,
550.271035263,71.991,R,11644554,656296,6527,22435,2,22759833600,21817057280,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
555.271555330,69.193,S,11751010,662309,6586,22616,2,22966964224,22018658304,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
560.272142654,64.392,S,11849539,667876,6640,22824,2,23159296000,22203621376,0,0.00,0.00,241664,172032,32,21,2048000,1978368,256,245,
565.272793228,65.991,D,11949900,673549,6694,23031,2,23354195968,22390960128,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
570.273464647,67.991,R,12054526,679462,6756,23244,2,23556288512,22584606720,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
575.273997160,67.593,R,12157942,685329,6815,23467,2,23748661248,22770409472,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
580.274668336,65.591,R,12258286,691012,6876,23658,2,23938527232,22952984576,0,0.00,0.00,241664,172032,32,20,2048000,1978368,256,244,
585.275607625,56.389,S,12344577,695889,6934,23874,2,24106164224,23114260480,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
590.276428788,68.789,R,12449249,701791,6996,24082,2,24315760640,23315853312,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
595.276974665,58.394,R,12539170,706848,7047,24294,2,24490463232,23483949056,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
600.277831920,45.592,R,12608943,710807,7097,24501,2,24626446336,23612272640,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
605.278761392,50.391,S,12686102,715170,7153,24712,2,24779333632,23761719296,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
610.279494659,64.790,R,12784727,720953,7211,24947,2,24868098048,23846486016,0,0.00,0.00,241664,229376,32,21,2048000,2035712,256,245,
615.280149059,52.393,S,12865677,725846,7280,25176,2,24865738752,23844728832,0,0.00,0.00,241664,233472,32,22,2048000,2039808,256,246,
